epoch,loss,accuracy,val_loss,val_accuracy,is_best,timestamp
1,0.3457,0.3103,0.3513,0.262,True,02:13:01
2,0.2735,0.4301,0.3325,0.3642,True,02:13:01
3,0.2078,0.5027,0.2821,0.4026,True,02:13:02
4,0.1647,0.5336,0.216,0.4026,False,02:13:02
5,0.1458,0.5705,0.1776,0.4856,True,02:13:02
6,0.1281,0.6171,0.1754,0.4728,False,02:13:02
7,0.1192,0.626,0.1351,0.5879,True,02:13:02
8,0.1034,0.6616,0.1144,0.6518,True,02:13:03
9,0.1024,0.6473,0.1024,0.7061,True,02:13:03
10,0.0863,0.7075,0.0796,0.7827,True,02:13:03
11,0.0834,0.7096,0.0716,0.7859,True,02:13:03
12,0.0832,0.6993,0.0758,0.7732,False,02:13:03
13,0.0851,0.6973,0.0818,0.7668,False,02:13:04
14,0.0779,0.7171,0.0564,0.7732,False,02:13:04
15,0.0676,0.7418,0.0703,0.7668,False,02:13:04
16,0.071,0.739,0.0597,0.7859,False,02:13:04
17,0.0689,0.7384,0.0588,0.7955,True,02:13:05
18,0.0665,0.7418,0.0551,0.8083,True,02:13:05
19,0.0605,0.7603,0.0543,0.8083,False,02:13:05
20,0.0632,0.7541,0.0594,0.7923,False,02:13:05
21,0.0648,0.7568,0.0536,0.7955,False,02:13:05
22,0.0588,0.7671,0.0469,0.8403,True,02:13:06
23,0.0581,0.789,0.053,0.7955,False,02:13:06
24,0.0561,0.7911,0.053,0.8115,False,02:13:06
25,0.0471,0.8096,0.0476,0.8147,False,02:13:06
26,0.0542,0.7925,0.0614,0.8083,False,02:13:06
27,0.047,0.8116,0.0463,0.8658,True,02:13:07
28,0.0458,0.8116,0.0647,0.7764,False,02:13:07
29,0.0516,0.8062,0.0476,0.7987,False,02:13:07
30,0.0438,0.8137,0.0436,0.8722,True,02:13:07
31,0.0451,0.8137,0.0457,0.8435,False,02:13:07
32,0.0475,0.8082,0.0469,0.8562,False,02:13:07
33,0.045,0.8178,0.0385,0.8498,False,02:13:08
34,0.0414,0.8212,0.0429,0.8562,False,02:13:08
35,0.0426,0.826,0.0442,0.8626,False,02:13:08
36,0.0468,0.8178,0.0353,0.8307,False,02:13:08
37,0.0453,0.8185,0.0362,0.8466,False,02:13:08
38,0.0429,0.8226,0.0436,0.8658,False,02:13:08
39,0.0345,0.8521,0.0417,0.8754,True,02:13:09
40,0.0441,0.8192,0.0429,0.9073,True,02:13:09
41,0.0385,0.8336,0.0447,0.8498,False,02:13:09
42,0.04,0.8493,0.0415,0.853,False,02:13:09
43,0.0433,0.8315,0.0413,0.8658,False,02:13:09
44,0.0418,0.8404,0.0422,0.853,False,02:13:09
45,0.0367,0.8527,0.0411,0.8658,False,02:13:10
46,0.0374,0.8432,0.0393,0.8818,False,02:13:10
47,0.0407,0.8363,0.0398,0.8914,False,02:13:10
48,0.0344,0.8514,0.0397,0.8914,False,02:13:10
49,0.0366,0.8445,0.0399,0.8658,False,02:13:10
50,0.0307,0.8692,0.0401,0.8626,False,02:13:11
